elapsedSec,fps,tracking,latency,heap
5.54,60,1,30.27,37.43
6.57,60,1,30.97,37.69
7.58,60,1,28.07,36.25
8.61,60,1,31.37,37.24
9.61,60,1,30.87,41.66
10.64,60,1,31.07,40.65
11.64,60,1,30.87,42.58
12.66,60,1,28.27,40.72
13.67,60,1,30.17,42.1
14.67,60,1,30.47,46.24
15.67,60,1,30.57,39.04
16.68,60,1,29.17,40.49
17.69,60,1,29.97,39.91
18.7,60,1,30.77,41.67
19.71,60,1,27.17,51.27
20.74,60,1,30.57,47.49
21.74,60,1,26.17,48.84
22.76,60,1,30.47,46.21
23.77,60,1,31.07,52.48
24.78,60,1,29.27,48.4
25.8,60,1,29.87,37.52
26.81,60,1,26.97,42.07
27.82,60,1,28.77,40.26
28.84,60,1,31.17,46.55
29.84,60,1,30.07,51.06
30.84,60,1,28.27,61.32
31.84,60,1,30.27,41.48
32.86,60,1,32.47,48.27
33.86,60,1,31.87,61.23
34.86,60,1,33.67,47.76
35.86,60,1,32.97,53.89
36.86,60,1,33.47,42.47
37.87,60,1,30.97,53.97
38.89,60,1,32.57,45.32
39.89,60,1,38.17,49.3
40.92,60,1,33.57,56.18
41.93,60,1,32.17,41.87
42.96,60,1,32.07,57.38
43.96,60,1,32.27,37.3
44.99,60,1,32.97,43.67
45.99,60,1,33.17,47.94
46.99,60,1,33.67,55.94
47.99,60,1,30.47,48.91
49.02,60,1,30.87,59.76
50.02,60,1,27.67,49.17
51.03,60,1,26.97,63.83
52.05,60,1,29.67,48.18
53.05,60,1,30.17,37.72
54.06,60,1,28.07,41.92
55.06,60,1,29.97,51.07
56.06,60,1,29.07,38.51
57.09,60,1,30.07,42.91
58.09,60,1,31.27,57.95
59.09,60,1,32.07,42.53
60.1,60,1,30.47,52.45
61.12,60,1,30.57,57.22
62.12,60,1,29.17,44.48
63.12,60,1,29.97,49.08
64.15,60,1,30.27,53.24
65.15,60,1,30.57,47.5
