elapsedSec,fps,tracking,latency,heap
5.69,60,1,36.47,78.17
6.7,60,1,31.67,54.44
7.7,60,1,32.27,59
8.7,60,1,31.67,63.17
9.71,60,1,31.77,67.34
10.74,60,1,32.37,71.38
11.74,60,1,31.67,51.44
12.74,60,1,31.87,55.4
13.77,60,1,31.67,59.47
14.77,60,1,30.57,63.58
15.77,60,1,32.47,67.62
16.81,60,1,32.17,71.81
17.84,60,1,31.47,51.36
18.84,60,1,31.67,55.47
19.85,60,1,33.57,59.41
20.87,60,1,32.87,63.11
21.88,60,1,32.17,67.08
22.89,60,1,33.17,70.98
23.89,60,1,33.47,74.98
24.89,60,1,31.57,54.37
25.89,60,1,34.07,58.39
26.89,60,1,34.37,62.35
27.89,60,1,33.87,66.26
28.92,60,1,33.67,70.06
29.92,60,1,32.37,51.12
30.92,60,1,33.77,55.41
31.95,60,1,29.27,59.68
32.95,60,1,32.07,63.81
33.95,60,1,31.47,67.88
34.95,60,1,33.27,71.81
35.95,60,1,31.67,50.43
36.98,60,1,31.07,54.49
38,60,1,34.37,58.56
39.02,60,1,31.77,62.53
40.04,60,1,31.77,66.58
41.05,60,1,31.27,70.58
42.05,60,1,31.87,74.49
43.06,60,1,32.07,53.9
44.07,60,1,30.37,58.02
45.08,60,1,31.77,62.42
46.09,60,1,31.47,66.4
47.09,60,1,31.57,70.38
48.1,60,1,31.17,74.42
49.13,60,1,41.77,53.52
50.15,60,1,31.97,57.59
51.15,60,1,29.67,61.36
52.15,60,1,31.77,65.25
53.16,60,1,31.77,68.92
54.16,60,1,32.77,72.72
55.18,60,1,32.87,51.88
56.19,60,1,33.57,49.24
57.22,60,1,32.07,53.12
58.22,60,1,28.87,56.89
59.25,60,1,31.67,60.78
60.25,60,1,30.37,64.64
61.27,60,1,34.17,68.54
62.31,60,1,35.07,72.48
63.34,60,1,32.77,51.26
64.34,60,1,33.17,55.15
65.34,60,1,28.97,59.14
