elapsedSec,fps,tracking,latency,heap
5.29,60,1,27.87,48.68
6.3,60,1,29.37,57.68
7.32,60,1,28.17,41.6
8.32,60,1,28.07,50.72
9.32,60,1,27.67,59.62
10.33,60,1,27.57,44.74
11.34,60,1,28.87,53.48
12.34,60,1,27.97,61.91
13.34,60,1,27.77,45.89
14.35,60,1,27.97,54.63
15.35,60,1,28.37,63.5
16.37,60,1,29.27,47.68
17.37,60,1,29.27,56.55
18.38,60,1,27.37,65.06
19.38,60,1,27.87,48.72
20.38,60,1,28.57,57.29
21.39,60,1,27.97,45.49
22.4,60,1,29.77,54.39
23.42,60,1,28.27,63.27
24.42,60,1,29.47,47.05
25.42,60,1,29.47,55.56
26.43,60,1,28.27,39.6
27.43,60,1,29.37,48.25
28.43,60,1,28.07,56.84
29.44,60,1,27.87,40.71
30.45,60,1,27.87,49.55
31.45,60,1,28.27,58.29
32.47,60,1,29.47,42.28
33.48,60,1,27.47,51.18
34.48,60,1,29.37,60.03
35.48,60,1,29.67,44.1
36.5,60,1,28.37,53.02
37.5,60,1,29.27,61.75
38.5,60,1,29.37,40.16
39.5,60,1,29.07,49.01
40.51,60,1,28.47,57.95
41.52,60,1,28.17,41.5
42.53,60,1,28.07,49.64
43.53,60,1,29.07,57.83
44.53,60,1,28.77,46.68
45.53,60,1,29.17,55.37
46.53,60,1,28.37,64.05
47.53,60,1,28.07,47.99
48.55,60,1,29.47,56.43
49.55,60,1,28.37,65
50.55,60,1,29.07,49.03
51.55,60,1,28.07,60.68
52.55,60,1,29.57,69.26
53.56,60,1,29.67,52.95
54.56,60,1,35.17,40.94
55.57,60,1,28.97,49.61
56.57,60,1,28.17,58.47
57.57,60,1,29.87,42
58.58,60,1,29.67,50.84
59.58,60,1,29.57,59.47
60.6,60,1,28.37,43.62
61.6,60,1,28.17,52.55
62.61,60,1,27.97,61.59
63.62,60,1,28.17,45.6
64.62,60,1,27.37,54.48
